prijedlog,n_pojavnica,pdf_str,tiskana_str,kontekst
,47,247,223,"ski) Metaforičko opojmljivanje [DUŠA JE SPREMNIK] [STRAH JE OBJEKT/MEDIJ] → [STRAHTRP BITI (u DUŠI)NIŠ MODp], [ENTITETVRŠ PROCES STRAHTRP (u DUŠU)NIŠ/ISK MODp], [STRAHVRŠ PROCES DUŠATRP] [STRAH JE SPREMNIK] [DUŠA JE OBJEKT/OSOBA] 4.5.1.32 Tijelo Tijelo se kao fiziološki nositelj straha pojavljuje u "
od,825,328,304,"j ili većoj mjeri od onoga s čime se usporećuje, 7. graću, tvar od koje je što napravljeno, izraćeno, 8. uz neku mjeru, 9. poslije komparativa. Branimir Belaj (Belaj 2010) ukazuje da je shematično ablativno prostorno značenje prijedloga od temelj ostalih značenja prijedloga od. 6.1.4.1. Od straha S "
do,13,332,308,ES) do(MODp) straha(or)(gen.)] prijedložni izraz do straha izražava adlativno i vanmjesno značenje opojmljujući prototipno proces prilaženja prema nekom odredištu (586) aktivirajući često u paru s prijedlogom od predodžbenu shemu ISHODIŠTE– PUT–CILJ (587). Konstrukcija je u korpusu identificirana u 
,14,335,311,"instrumentalnosti, odnosno socijativnosti instrumentalnim oblikom strahom. Procesi koji se pojavljuju u tim konstrukcijama odražavaju reakciju ENTITETA na takav (nepoželjni) prostorni odnos: ustuknuti, uzmicati, izmicati, itd. Prijedložni izraz pred strahom, u ovim je konstrukcijama zabilježen je u "
,20,338,314,"314 6.1.10. Perlativni odnos uz Prijedlog uz ima prototipno perlativno vanmjesno značenje opojmljujući BLIZINU dvaju ENTITETA u prostornom odnosu te POVRŠINU orjentira, kao i USPINJANJE trajektora tom površinom. U konstrukcijama se pojavljuje s akuzativom. 6.1.10.1. Uz strah U 20 pojavnica (n=20) ko"
,31,348,324,"r drugoga, odnosno unutarmjesni odnos jednog ili više OBJEKTA u odnosu na SPREMNIK. U hrvatskome se prijedlog u kombinira s akuzativom i lokativom, rjeće s genitivom. 6.2.1.1. U strah(u) Adlativni akuzativni oblik (u strah) Konstrukcija [ENTITET(tr) (PROCES) u(MODp) strah(or)(ak.)] zabilježena je u "
,20,354,330,domena: odnos OBJEKT A3.L.S. (tr) do OBJEKT B3.L.S. (or) → preslikavanje odnosa 3.L.P.: IZLAŽENJE IZ UNUTARMJESNOSTI + struktura OBJEKTA B3.L.S.: SPREMNIK KAO ISHODIŠTE → AFEKTIVNO STANJE KOJE UZROKUJE PROCES 6.2.2.2. Strah iz Konstrukcija [STRAH (tr) (PROCES) iz ENTITET(or)(gen.)] zabilježena je u 
,16,354,330,e prijedlog kroz kombinira s akuzativom. 6.2.3.1. Kroz strah Prijedlog kroz u konstrukciji [ENTITET(tr) (PROCES) kroz(MODp) strah(or)(ak.)] izražava krozmjesno značenje u kojima se strah opojmljuje kao OBJEKT – orjentir kroz koji prolazi ENTITET – trajektor. Prijedložni izraz kroz strah javlja se u 
,107,363,339,339 kodirano na mjestu orjentira. ENTITET koji ima strah preuzima semantičku ulogu iskustvenika. Strah je u tematskim konstrukcijama s glagolom imati identificiran u 107 pojavnica (n=107). Shematski se tematsko opojmljivanje straha kodirano glagolom imati može prikazati: Slika 126. Shematski prikaz 
od,25,373,349,"349 Budući da je orjentir istovjetan trajektoru, ovaj uvid zahtijeva novi orijentir koji ostvaruje prijedložna dopuna od straha. 7.1.3.3. Dati strah Glagol dati, sa srodnim preoblikama zadati, zadavati identificiran je u 25 pojavnica (n=25). Dvoprijelazni glagol dati ima 3 učesnika: davatelja, objek"
,110,376,352,Trajektor: vršnik → UZROK Orjentir (bliži): trpnik → SPREMNIK → metonimijsko profiliranje: SPREMNIK STOJI ZA ISKUSTVENIKA 7.1.3.6. Širiti strah Jednoprelazni glagol širiti uvrštava se u glagole promjene oblika i stanja (najčešće primjenom SILE). Opojmljivanje straha glagolom širiti zabilježeno je u 
,24,377,353,JKA (KORIJEN)/BOLEST/BOMBA Inferencije za trajektor: ŠIRITELJVRŠ Inferencija iskustvenika: metonimijsko profiliranje MJESTO STOJI ZA ISKUSTVENIKA na tom mjestu → preoblike Povratna konstrukcija: [STRAH(tr) VRŠ/ TRP se širiti] 7.1.3.7. Odagnati strah Glagol odagnati pojavljuje se s učesnikom strah u 
,5,380,356,"trpnik, odnosno TEKUĆINA koja mijenja tekuće agregatno stanje u plinovito. Značenje te konstrukcije je da strah nestaje pod utjecajem nekog vanjskog uzroka. Taj vanjski uzrok se obično javlja u kontekstu diskurza i kodira odrećenim dopunama te se može smatrati instrumentom. U korpusu je zabilježeno "
,27,383,359,uje kao SPREMNIK. Procesi izvedeni iz statičnog lokativnog unutarmjesnog odnosa ističu statičnu ulogu učesnika u strahu. Iskustvenik se opojmljuje kao OBJEKT u SPREMNIKU. Takvi su primjerice držati (u strahu). 7.2.1.1. Držati u strahu Prijelazni glagol držati u konstrukcijama sa strahom javlja se u 
,14,383,359,su primjerice držati (u strahu). 7.2.1.1. Držati u strahu Prijelazni glagol držati u konstrukcijama sa strahom javlja se u 27 pojavnica (n=27). Od toga u tematskim procesno objektnim konstrukcijama [ENTITET 1(tr) VRŠ držati ENTITET 2(ak.)(or) TRP/ISK (u strahu)MODp] sa metaforom STRAH JE SPREMNIK u 
,5,392,368,">ISK prebroditi strahNIŠ] preslikava domenu medija putovanja, odnosno TEKUĆINE. Iskustvenik straha kodira se vršnikom procesa prebroditi putnika. Sredstvo putovanja obično nije izrečeno. Značenje konstrukcije opisuje dugotrajniji proces nestanka afektivnog stanja straha. U korpusu je identificirano "
,72,398,374,"47. Shematski prikaz agentivnih obrazaca opojmljivanja straha iz lokativnog nadmjesnog odnosa. Slijedi opis nekoliko konstrukcija s glagolima vladati (8.1.1.), robovati (8.1.2.), dizati se (8.1.3.) u kojima se očituje nadmjesno opojmljenje straha. 8.1.1. Strah vladati Glagol vladati pojavljuje se u "
,60,421,397,ost i postaje jedinim njezinim znakom. (Vjesnik) Agentivna konstrukcija [STRAHVRŠ PRODRIJETI U ENTITETNIŠ/ISK] Ciljna domena: STRAH Ishodišna domena: OBJEKT → OBJEKT koji prodire u SPREMNIK Inferencije za iskustvenika: POSTUPNOST DOŽIVLJAVANJA STRAHA 8.3.4.Strah spopasti Glagol spopasti javlja se u 
protiv,12,426,402,"vne konstrukcije: [ENTITETVRŠ{naoružati, ubosti, udariti...} STRAHOMINST] 8.3.6.4. Boriti se protiv straha/sa strahom Proces boriti ističe protivne odnose učesnika i predodženu shemu suprotstavljanja. Glagol boriti (803) i njegova imenska izvedenica borba (804) javlja se sa strahom kao argumentom u "
,2,427,403,SE BORITI protiv STRAHATRP/VRŠ] Ciljna domena: STRAH Ishodišna domena: PROTIVNIK 8.3.6.4. Strah osvojiti Proces osvojiti proizlazi iz predodžbene sheme suprotstavljanja i ratovanja ističući nadvladavanje trajektora nad orjentirom i zauzimanje njegove domene. Agonistički glagol osvojiti javlja se u 2
,19,428,404,"iti može profilirati agentivnu ulogu trajektora u adlativnom odnosu prema orjentiru, ali i agentivnu ulogu trajektora pri uzrokovanju ablativnog odnosa prema orjentiru. Isticanje jednog ili drugog odnosa ovisi o prefiksima poput pro- , raz- itd. Konstrukcije straha s procesom goniti pojavljuje se u "
,110,432,408,ost značenja glagola obuzeti. Glagol obuzeti ističe adlativnu silu okomjesnosti koja se može poistovjetiti s predodžbenom shemom UZETI OBJEKT OBUHVAĆANJEM. Vršnik procesa obuzeti opojmljuje se agentivnije od vršnika procesa prethodno navedenih glagola obaviti i sputati. Čestotnost glagola obuzeti s 
,14,433,409,"409 8.4.4. Strah držati Glagol držati ističe vršničku ulogu trajektora u okomjesnom lokativnom odnosu prema orjentiru. Prijelazni glagol držati javlja se sa strahom u 25 konstrukcija (n=25). Od toga su 14 pojavnica (n=14) tematsko obrasci opojmljivanja straha kao SPREMNIK (7.2.1.1.), jedan puta kao "
,9,433,409,"držati ističe vršničku ulogu trajektora u okomjesnom lokativnom odnosu prema orjentiru. Prijelazni glagol držati javlja se sa strahom u 25 konstrukcija (n=25). Od toga su 14 pojavnica (n=14) tematsko obrasci opojmljivanja straha kao SPREMNIK (7.2.1.1.), jedan puta kao bliži OBJEKT (n=1) trpnik, a u "
